V1,V2,DOI,V3,V4,V5,C_ALPHAN,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,SEX,AGE,MARITAL,COHAB,EDUCYRS,DEGREE,AT_DEGR,AU_DEGR,BE_DEGR,CH_DEGR,CL_DEGR,CY_DEGR,CZ_DEGR,DE_DEGR,DK_DEGR,DO_DEGR,ES_DEGR,FI_DEGR,FR_DEGR,GB_DEGR,HR_DEGR,HU_DEGR,IE_DEGR,IL_DEGR,IT_DEGR,JP_DEGR,KR_DEGR,LV_DEGR,MX_DEGR,NIR_DEGR,NL_DEGR,NO_DEGR,NZ_DEGR,PH_DEGR,PL_DEGR,PT_DEGR,RU_DEGR,SE_DEGR,SI_DEGR,SK_DEGR,TR_DEGR,TW_DEGR,UA_DEGR,US_DEGR,UY_DEGR,VE_DEGR,ZA_DEGR,WRKST,WRKHRS,ISCO88,WRKTYPE,NEMPLOY,WRKSUP,UNION,SPWRKST,SPISCO88,SPWRKTYP,AT_RINC,AU_RINC,BE_RINC,CH_RINC,CL_RINC,CY_RINC,CZ_RINC,DE_RINC,DK_RINC,DO_RINC,ES_RINC,FI_RINC,FR_RINC,GB_RINC,HR_RINC,HU_RINC,IE_RINC,IL_RINC,IT_RINC,JP_RINC,KR_RINC,LV_RINC,MX_RINC,NIR_RINC,NL_RINC,NO_RINC,NZ_RINC,PH_RINC,PL_RINC,PT_RINC,RU_RINC,SE_RINC,SI_RINC,SK_RINC,TR_RINC,TW_RINC,UA_RINC,US_RINC,UY_RINC,VE_RINC,ZA_RINC,AT_INC,AU_INC,BE_INC,CH_INC,CL_INC,CY_INC,CZ_INC,DE_INC,DK_INC,DO_INC,ES_INC,FI_INC,FR_INC,GB_INC,HR_INC,HU_INC,IE_INC,IL_INC,IT_INC,JP_INC,KR_INC,LV_INC,MX_INC,NIR_INC,NL_INC,NO_INC,NZ_INC,PH_INC,PL_INC,PT_INC,RU_INC,SE_INC,SI_INC,SK_INC,TR_INC,TW_INC,UA_INC,US_INC,UY_INC,VE_INC,ZA_INC,HOMPOP,HHCYCLE,PARTY_LR,AT_PRTY,AU_PRTY,BE_PRTY,CH_PRTY,CL_PRTY,CY_PRTY,CZ_PRTY,DE_PRTY,DK_PRTY,DO_PRTY,ES_PRTY,FI_PRTY,FR_PRTY,GB_PRTY,HR_PRTY,HU_PRTY,IE_PRTY,IL_PRTY,IT_PRTY,JP_PRTY,KR_PRTY,LV_PRTY,MX_PRTY,NIR_PRTY,NL_PRTY,NO_PRTY,NZ_PRTY,PH_PRTY,PL_PRTY,PT_PRTY,RU_PRTY,SE_PRTY,SI_PRTY,SK_PRTY,TR_PRTY,TW_PRTY,UA_PRTY,US_PRTY,UY_PRTY,VE_PRTY,ZA_PRTY,VOTE_LE,RELIG,RELIGGRP,ATTEND,ATTD_EXT,TOPBOT,AT_REG,AU_REG,BE_REG,CH_REG,CL_REG,CY_REG,CZ_REG,DE_REG,DK_REG,DO_REG,ES_REG,FI_REG,FR_REG,GB_REG,HR_REG,HU_REG,IE_REG,IL_REG,IT_REG,JP_REG,KR_REG,LV_REG,MX_REG,NL_REG,NO_REG,NZ_REG,PH_REG,PL_REG,PT_REG,RU_REG,SE_REG,SI_REG,SK_REG,TR_REG,TW_REG,UA_REG,US_REG,UY_REG,VE_REG,ZA_REG,AT_SIZE,AU_SIZE,BE_SIZE,CH_SIZE,CL_SIZE,CY_SIZE,CZ_SIZE,DE_SIZE,DK_SIZE,DO_SIZE,ES_SIZE,FI_SIZE,FR_SIZE,GB_SIZE,HR_SIZE,HU_SIZE,IE_SIZE,IL_SIZE,IT_SIZE,JP_SIZE,KR_SIZE,LV_SIZE,MX_SIZE,NL_SIZE,NO_SIZE,NZ_SIZE,PH_SIZE,PL_SIZE,PT_SIZE,RU_SIZE,SE_SIZE,SI_SIZE,SK_SIZE,TR_SIZE,TW_SIZE,UA_SIZE,US_SIZE,UY_SIZE,VE_SIZE,ZA_SIZE,URBRURAL,ETHNIC,MODE,SUBSCASE,WEIGHT
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,9,191,191,HR,3,8,2,1,8,4,4,4,4,8,3,3,3,2,2,3,4,4,4,4,3,2,2,2,8,4,4,6,4,3,8,8,2,4,8,4,2,4,2,4,3,4,100,2,100,2,100,2,100,2,8,7,7,8,1,1,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,1,0,12.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9151,2,0,0,2,1,5220,3,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,1650,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,4300,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,0,1.0
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,9,40,40,AT,2,4,2,4,4,3,4,2,4,3,4,2,2,1,1,1,5,5,1,1,8,2,2,1,1,3,2,3,0,4,4,4,2,4,4,3,5,5,5,5,4,4,100,2,100,2,100,2,100,2,8,8,5,1,2,2,1,7,3,2,2,3,2,4,0,0,2,0,0,0,0,0,3,3,1,2,0,0,0,0,0,0,0,1,48,5,2,12.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,3470,3,0,2,3,0,0,0,1050,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,1050,999990,999990,999990,9999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,1,1,6,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,0,1.763856
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,9,196,196,CY,2,4,2,3,2,2,2,3,3,3,4,3,3,2,3,3,2,3,2,2,2,2,2,4,4,2,2,2,8,2,2,2,1,4,4,3,4,4,3,4,3,3,310,4,310,4,310,4,997,0,3,3,3,8,1,2,2,4,2,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,5,2,15.0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,999990,999990,999990,999990,9999990,256,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999998,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310,4,6,3,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.0,10,0,1.0
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,10,152,152,CL,1,4,1,4,4,4,4,3,9,9,9,2,5,3,1,4,1,3,4,3,1,2,2,2,3,2,2,6,4,2,2,2,1,2,4,2,4,4,4,4,2,4,270,3,270,3,270,3,100,2,7,8,4,7,1,1,3,4,2,2,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,38,1,0,16.0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,3413,4,2,1,3,2,5220,3,999990,999990,999990,999990,310000,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,400000,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,4,7,7,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,5,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,1,1.37000000476
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,10,203,203,CZ,2,3,2,8,4,2,4,4,8,8,8,8,8,1,1,1,5,5,2,8,5,1,1,2,2,2,2,6,4,3,2,2,3,4,4,2,2,4,1,5,2,1,100,2,100,2,100,2,997,0,6,6,6,4,1,1,4,3,2,2,1,2,1,4,2,0,2,0,7,1,1,6,2,4,2,3,2,0,0,0,0,0,0,2,81,3,2,12.0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3433,2,0,2,2,0,0,0,999990,999990,999990,999990,9999990,999990,9500,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,9000,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,1,1,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,5,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,0,0.471597657
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,10,191,191,HR,3,4,1,1,1,1,4,4,3,3,3,4,3,1,2,2,3,4,2,2,3,1,1,1,1,2,2,6,4,1,2,2,1,3,4,4,4,4,4,4,4,3,100,2,100,2,100,2,997,0,8,8,5,10,1,1,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,5,2,96.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999999,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,7000,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,0,1.0
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,10,40,40,AT,2,4,1,4,4,2,5,2,5,4,4,2,2,2,1,1,4,4,1,1,2,8,2,2,2,4,4,3,0,8,3,3,8,8,8,4,4,2,4,5,1,1,100,2,100,2,100,2,400,9,3,8,8,6,3,1,1,4,2,2,4,4,2,3,0,0,2,0,0,0,0,0,2,2,8,2,0,0,0,0,0,0,0,2,58,1,0,9.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5200,3,0,2,3,1,0,0,750,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,2300,999990,999990,999990,9999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,3,9,6,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,5,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,22,0,1.285029
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,10,196,196,CY,3,4,4,4,4,4,5,2,3,3,5,2,2,1,1,1,5,5,2,1,2,1,1,1,1,2,2,1,2,3,3,3,3,8,8,3,5,5,5,8,2,2,310,4,310,4,310,4,997,0,4,2,4,1,1,2,1,2,4,1,2,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,5,2,16.0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,1315,4,8,1,3,0,0,0,999990,999990,999990,999990,9999990,2476,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,2476,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,1,1,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,310,4,8,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.0,10,0,1.0
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,11,152,152,CL,2,4,1,4,1,1,4,3,5,3,4,4,3,1,4,4,3,4,2,2,1,2,2,4,4,2,2,5,4,1,3,3,2,2,8,2,2,4,4,2,2,2,998,98,100,2,100,2,997,0,98,8,7,10,1,1,4,4,3,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,20,5,2,12.0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,5220,3,0,2,3,0,0,0,999990,999990,999990,999990,155000,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,250000,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,5,10,7,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2,8,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,11,1,1.36800003051
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,11,203,203,CZ,1,4,3,4,4,4,2,2,3,3,5,3,1,1,1,1,5,5,4,4,4,1,1,1,1,2,2,1,1,4,4,4,4,4,4,4,5,5,5,5,1,9,0,1,0,1,0,1,997,0,1,1,1,1,1,2,1,6,4,1,5,2,2,5,2,0,2,0,7,1,1,7,2,9,9,3,5,0,0,0,0,0,0,1,25,5,2,96.0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,999990,999990,999990,999990,9999990,999990,999999,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999999,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,1,1,8,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,0,2.252182189
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,11,191,191,HR,8,4,3,4,4,4,4,3,4,4,5,4,4,4,1,1,3,3,3,2,2,1,1,1,1,2,1,6,4,8,8,8,8,8,8,8,8,4,4,4,1,1,100,2,300,4,0,1,250,3,8,4,3,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,1,0,16.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2310,1,0,1,1,1,2310,1,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,12500,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,19000,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300,4,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,0,1.0
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,11,40,40,AT,1,4,1,4,4,1,4,4,4,3,3,4,3,3,1,1,4,5,1,1,3,4,2,1,1,3,2,5,0,2,2,2,1,2,2,2,2,3,4,5,1,4,100,2,100,2,100,2,100,2,8,8,8,8,3,1,3,3,2,2,3,4,2,4,0,0,2,0,0,0,0,0,2,8,3,2,0,0,0,0,0,0,0,2,47,3,1,17.0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,4120,3,4,1,1,1,0,0,1350,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,2750,999990,999990,999990,9999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,3,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,3,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,22,0,1.123214
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,11,196,196,CY,2,4,1,8,4,3,4,2,5,5,5,5,5,4,3,3,5,2,2,3,2,2,2,4,4,2,3,6,4,2,2,2,3,3,3,8,3,3,3,3,3,3,310,4,310,4,310,4,310,4,6,5,5,10,4,1,2,4,2,3,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,1,0,16.0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,2331,1,0,2,1,1,2421,4,999990,999990,999990,999990,9999990,1708,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,5126,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,2,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310,4,2,7,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.0,10,0,1.0
